Epoch: 01 | Epoch Time: 1m 19s
	Train Loss: 1.747 | Train Acc: 57.48%
	 Val. Loss: 1.090 |  Val. Acc: 70.54%
	 Val. F1 Mac: 0.18 |  Val. F1 Mic: 0.71
Epoch: 02 | Epoch Time: 0m 54s
	Train Loss: 0.906 | Train Acc: 76.38%
	 Val. Loss: 0.666 |  Val. Acc: 82.77%
	 Val. F1 Mac: 0.55 |  Val. F1 Mic: 0.83
Epoch: 03 | Epoch Time: 0m 55s
	Train Loss: 0.621 | Train Acc: 83.41%
	 Val. Loss: 0.564 |  Val. Acc: 82.44%
	 Val. F1 Mac: 0.57 |  Val. F1 Mic: 0.82
Epoch: 04 | Epoch Time: 0m 54s
	Train Loss: 0.500 | Train Acc: 85.77%
	 Val. Loss: 0.495 |  Val. Acc: 84.57%
	 Val. F1 Mac: 0.62 |  Val. F1 Mic: 0.85
Epoch: 05 | Epoch Time: 0m 55s
	Train Loss: 0.437 | Train Acc: 87.07%
	 Val. Loss: 0.468 |  Val. Acc: 85.51%
	 Val. F1 Mac: 0.68 |  Val. F1 Mic: 0.85
Epoch: 06 | Epoch Time: 0m 56s
	Train Loss: 0.384 | Train Acc: 88.51%
	 Val. Loss: 0.446 |  Val. Acc: 86.08%
	 Val. F1 Mac: 0.72 |  Val. F1 Mic: 0.86
Epoch: 07 | Epoch Time: 0m 56s
	Train Loss: 0.339 | Train Acc: 89.81%
	 Val. Loss: 0.449 |  Val. Acc: 86.09%
	 Val. F1 Mac: 0.73 |  Val. F1 Mic: 0.86
Epoch: 08 | Epoch Time: 0m 56s
	Train Loss: 0.304 | Train Acc: 90.92%
	 Val. Loss: 0.460 |  Val. Acc: 85.93%
	 Val. F1 Mac: 0.74 |  Val. F1 Mic: 0.86
Epoch: 09 | Epoch Time: 0m 56s
	Train Loss: 0.287 | Train Acc: 91.42%
	 Val. Loss: 0.445 |  Val. Acc: 86.62%
	 Val. F1 Mac: 0.76 |  Val. F1 Mic: 0.87
Epoch: 10 | Epoch Time: 0m 56s
	Train Loss: 0.262 | Train Acc: 92.14%
	 Val. Loss: 0.447 |  Val. Acc: 86.88%
	 Val. F1 Mac: 0.77 |  Val. F1 Mic: 0.87
Epoch: 11 | Epoch Time: 0m 56s
	Train Loss: 0.240 | Train Acc: 92.90%
	 Val. Loss: 0.453 |  Val. Acc: 86.81%
	 Val. F1 Mac: 0.78 |  Val. F1 Mic: 0.87
Epoch: 12 | Epoch Time: 0m 56s
	Train Loss: 0.224 | Train Acc: 93.41%
	 Val. Loss: 0.459 |  Val. Acc: 87.07%
	 Val. F1 Mac: 0.79 |  Val. F1 Mic: 0.87
Epoch: 13 | Epoch Time: 0m 55s
	Train Loss: 0.210 | Train Acc: 93.74%
	 Val. Loss: 0.452 |  Val. Acc: 87.72%
	 Val. F1 Mac: 0.79 |  Val. F1 Mic: 0.88
Epoch: 14 | Epoch Time: 0m 56s
	Train Loss: 0.197 | Train Acc: 94.09%
	 Val. Loss: 0.447 |  Val. Acc: 87.65%
	 Val. F1 Mac: 0.79 |  Val. F1 Mic: 0.88
Epoch: 15 | Epoch Time: 0m 56s
	Train Loss: 0.187 | Train Acc: 94.50%
	 Val. Loss: 0.469 |  Val. Acc: 87.30%
	 Val. F1 Mac: 0.79 |  Val. F1 Mic: 0.87
