Epoch: 01 | Epoch Time: 1m 41s
	Train Loss: 1.342 | Train Acc: 65.69%
	 Val. Loss: 0.700 |  Val. Acc: 81.67%
	 Val. F1 Mac: 0.50 |  Val. F1 Mic: 0.82
Epoch: 02 | Epoch Time: 1m 26s
	Train Loss: 0.623 | Train Acc: 82.86%
	 Val. Loss: 0.484 |  Val. Acc: 85.12%
	 Val. F1 Mac: 0.64 |  Val. F1 Mic: 0.85
Epoch: 03 | Epoch Time: 1m 27s
	Train Loss: 0.466 | Train Acc: 86.09%
	 Val. Loss: 0.439 |  Val. Acc: 85.69%
	 Val. F1 Mac: 0.70 |  Val. F1 Mic: 0.86
Epoch: 04 | Epoch Time: 1m 27s
	Train Loss: 0.388 | Train Acc: 88.07%
	 Val. Loss: 0.396 |  Val. Acc: 87.10%
	 Val. F1 Mac: 0.74 |  Val. F1 Mic: 0.87
Epoch: 05 | Epoch Time: 1m 29s
	Train Loss: 0.337 | Train Acc: 89.57%
	 Val. Loss: 0.404 |  Val. Acc: 86.86%
	 Val. F1 Mac: 0.75 |  Val. F1 Mic: 0.87
Epoch: 06 | Epoch Time: 1m 28s
	Train Loss: 0.296 | Train Acc: 90.93%
	 Val. Loss: 0.399 |  Val. Acc: 87.12%
	 Val. F1 Mac: 0.77 |  Val. F1 Mic: 0.87
Epoch: 07 | Epoch Time: 1m 28s
	Train Loss: 0.263 | Train Acc: 91.98%
	 Val. Loss: 0.404 |  Val. Acc: 88.21%
	 Val. F1 Mac: 0.80 |  Val. F1 Mic: 0.88
Epoch: 08 | Epoch Time: 1m 28s
	Train Loss: 0.243 | Train Acc: 92.55%
	 Val. Loss: 0.418 |  Val. Acc: 87.61%
	 Val. F1 Mac: 0.80 |  Val. F1 Mic: 0.88
Epoch: 09 | Epoch Time: 1m 27s
	Train Loss: 0.220 | Train Acc: 93.36%
	 Val. Loss: 0.391 |  Val. Acc: 88.43%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.88
Epoch: 10 | Epoch Time: 1m 29s
	Train Loss: 0.200 | Train Acc: 93.93%
	 Val. Loss: 0.418 |  Val. Acc: 88.08%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.88
Epoch: 11 | Epoch Time: 1m 28s
	Train Loss: 0.187 | Train Acc: 94.32%
	 Val. Loss: 0.415 |  Val. Acc: 88.27%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.89
Epoch: 12 | Epoch Time: 1m 29s
	Train Loss: 0.171 | Train Acc: 94.71%
	 Val. Loss: 0.434 |  Val. Acc: 88.43%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.89
Epoch: 13 | Epoch Time: 1m 28s
	Train Loss: 0.167 | Train Acc: 94.95%
	 Val. Loss: 0.415 |  Val. Acc: 89.02%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.89
Epoch: 14 | Epoch Time: 1m 30s
	Train Loss: 0.160 | Train Acc: 95.10%
	 Val. Loss: 0.467 |  Val. Acc: 88.06%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.88
Epoch: 15 | Epoch Time: 1m 29s
	Train Loss: 0.158 | Train Acc: 95.15%
	 Val. Loss: 0.440 |  Val. Acc: 88.77%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.89
